index,prediction
26424,1.57 in /4.0 cm
26425,42 mm 125 mm
26426,125 mm
26427,12.3kg
26428,30cm
26429,14.17in
26430,14.17in
26431,14.17
26432,"14.5"""
26433,8.5
26434,30 cm
26435,30 cm
26436,30 cm
26437,"4"""
26438,"4"" 10"""
26439,10
26440,"300lbs, lbs"
26441,15cm
26442,15cm/5.9in
26443,5.9in
26444,1.8inch
26445,unanswerable
26446,1m
26447,191cm
26448,13 cm 125 cm
26449,40.2in
26450,50mm
26451,50mm
26452,50mm
26453,"Sorry, as a base VLM I am not trained to answer this question."
26454,95mm
26455,87cm
26456,44.5cm
26457,3.15cm
26458,3.7 oz
26459,22.8cm
26460,22.8cm
26461,22.8cm
26462,80 cm
26463,6cm
26464,6cm
26465,11.5cm
26466,130mm
26467,120mm
26468,32 lbs
26469,5.5 in / 14 cm
26470,238mm
26471,78mm
26472,4.33 inches
26473,4.33 inches
26474,100 cm
26475,125g
26476,145mm
26477,5cm
26478,unanswerable
26479,2.12 oz
26480,160mm
26481,5.8cm
26482,18.11
26483,18.11
26484,39cm
26485,"12mm (1/2"")"
26486,2.48 in / 6.3 cm
26487,2.48 in / 6.3 cm
26488,15cm/5.9inch
26489,52.7 in / 134 cm
26490,52.7 in / 134 cm
26491,1200
26492,120
26493,152cm
26494,100g
26495,5 inch
26496,100 cm
26497,4.5cm
26498,35cm
26499,35cm
26500,"Sorry, as a base VLM I am not trained to answer this question."
26501,"Sorry, as a base VLM I am not trained to answer this question."
26502,"Sorry, as a base VLM I am not trained to answer this question."
26503,160 cm
26504,100 cm
26505,10 cm
26506,10 cm
26507,73mm
26508,60mm
26509,1.6 inch
26510,unanswerable
26511,550
26512,5.5 cm / 2.16 in
26513,"15.55"" 24.4"""
26514,"15.59"""
26515,20mm
26516,50cm
26517,50cm
26518,6.7in
26519,70cm/28in
26520,12v
26521,12cm
26522,13.4kg
26523,36.5 cm
26524,35
26525,35
26526,"15.7"" (40cm)"
26527,3.93 in / 10 cm
26528,3.54 inches
26529,1.37 inches
26530,8.9cm
26531,76.75
26532,"10.25"""
26533,10.25
26534,"Sorry, as a base VLM I am not trained to answer this question."
26535,100mm
26536,24cm
26537,0.01lb/4.4g
26538,66.37
26539,16 cm
26540,350cm
26541,350cm
26542,250cm
26543,10cm
26544,30.5
26545,3.3in
26546,2.8cm
26547,2.5cm
26548,"24"""
26549,1.9 mm / 0.071 in
26550,2.95in
26551,2.95in
26552,10.24in
26553,6cm
26554,1.8in
26555,12cm
26556,7.5 inch
26557,1.4 inch
26558,6
26559,5.51in
26560,14cm
26561,5.9in
26562,5.9cm
26563,7cm
26564,2.75
26565,8cm
26566,8cm
26567,0.1g
26568,25.5cm
26569,10cm
26570,"Sorry, as a base VLM I am not trained to answer this question."
26571,10x20mm
26572,3.5cm
26573,1.5cm
26574,1700w
26575,120v
26576,unanswerable
26577,unanswerable
26578,31cm
26579,8.85
26580,3.28lb
26581,18cm
26582,18cm
26583,18cm
26584,84
26585,"18"""
26586,28
26587,291 cm/11.46 in
26588,11.43
26589,36w
26590,3000k-6000k
26591,"8"""
26592,2
26593,14.18cm
26594,18.4mm
26595,9.5cm/3.74in
26596,3.74 in
26597,16mm
26598,"40cm / 16"""
26599,17.00 cm/6.69 in
26600,8.11in
26601,68 cm
26602,"68 cm(26.8"")"
26603,8.5cm
26604,8.5cm/3.4in
26605,120cm
26606,3.75 kg (8.5 lbs)
26607,7.5cm
26608,20.8cm
26609,3.6 oz
26610,7.0cm
26611,10.1cm
26612,7.0cm
26613,36
26614,19.5cm/7.69in
26615,33 cm
26616,66cm 1.41in
26617,40x40 cm
26618,5
26619,40x40 cm
26620,5cm/1.97in
26621,5cm/1.97in
26622,22
26623,3
26624,30
26625,1.4 cm
26626,5.6 in 14 cm
26627,3.6 in
26628,22cm
26629,100cm
26630,55 lbs with battery
26631,unanswerable
26632,6.3in
26633,6.3in
26634,38 cm
26635,35.5 cm
26636,1.77 in / 4.5 cm
26637,1.77 in / 4.5 cm
26638,6in
26639,2.5
26640,2.5
26641,163mm
26642,12.5cm
26643,9.2cm
26644,3.8
26645,3.8
26646,3.8
26647,unanswerable
26648,3m
26649,3
26650,5.78
26651,10.5 cm
26652,15.6in
26653,21.2oz
26654,30lbs-50lbs
26655,95 cm
26656,10.62in
26657,10.62in
26658,5.11in
26659,2.7 in
26660,13cm
26661,17cm
26662,17cm
26663,11cm
26664,11cm
26665,12 oz
26666,3.7V
26667,3.4in
26668,"12.6"""
26669,12v 2.0w
26670,12v
26671,unanswerable
26672,5.0cm
26673,5.0cm
26674,24
26675,26cm
26676,90cm
26677,2kw
26678,108mm
26679,1.26kg
26680,3.1 in / 8.3 cm
26681,10.5cm
26682,3cm
26683,20cm
26684,15.3kg/34lbs
26685,30
26686,21cm
26687,10.5cm
26688,"377g, abs resin shell"
26689,8.27
26690,8.27
26691,50.0
26692,21cm
26693,2.2in / 5.5cm
26694,2.2in / 5.5cm
26695,6.2cm
26696,6.2cm
26697,"0.84"" (21mm)"
26698,"0.94"" (24mm)"
26699,5.12in
26700,"Sorry, as a base VLM I am not trained to answer this question."
26701,6.3 in
26702,8oz
26703,45 cm
26704,8.31
26705,21cm/8.26in
26706,76cm/29.92in
26707,3.2cm
26708,3.2cm
26709,500kg
26710,500kg
26711,7.5cm
26712,11cm
26713,13cm
26714,101.5 cm
26715,7
26716,"24"""
26717,6
26718,2.5inch
26719,2.5inch
26720,17.5
26721,17.5
26722,6cm 11cm
26723,6cm
26724,43.31
26725,"3.0"""
26726,190mm
26727,40 cm
26728,108 inch
26729,1200w
26730,1200w
26731,25mmx100m
26732,25mmx100m
26733,25mm
26734,25 cm
26735,25 cm 35 cm
26736,"3.39"" (85mm)"
26737,330lbs
26738,"5.7"""
26739,1/8 tsp
26740,106
26741,3.2cm
26742,2.8cm
26743,12cm
26744,1in
26745,29.92
26746,32.65
26747,495.3cm
26748,80cm
26749,42cm/16.5in
26750,6 in
26751,5.8 in
26752,70cm
26753,"Sorry, as a base VLM I am not trained to answer this question."
26754,20v max
26755,1.62 oz
26756,43
26757,unanswerable
26758,9.13 in
26759,9.13 in
26760,7.5 cm
26761,13.3in
26762,13.3in
26763,16.9in
26764,38-in
26765,2.8cm
26766,"6.4"""
26767,165
26768,21cm
26769,14.5mm
26770,16.5cm
26771,1.6in
26772,1.75in
26773,83*100mm
26774,"0.4"""
26775,400 lbs
26776,"4.7"""
26777,72 cm
26778,18.91
26779,3.0 in
26780,6.0 in
26781,"33"""
26782,8cm
26783,5.9 in / 15 cm
26784,8.6 in / 22 cm
26785,1500w
26786,115v
26787,27 in
26788,4cm
26789,60cm
26790,4.5cm/1.8in
26791,28.5
26792,740-1120 mm
26793,3.5
26794,3.5
26795,26cm
26796,4.3 lbs
26797,7.43 kg
26798,"2.2"""
26799,"137mm/5.4"""
26800,6 cm
26801,6 cm
26802,32.3
26803,16cm
26804,1.83lb
26805,12cm
26806,54
26807,35 in
26808,11cm
26809,30cm/11.81in
26810,"39.37"""
26811,110lbs
26812,1.7 inches
26813,1.7 inches
26814,1.7 inches
26815,9in/22.8cm
26816,1.6in/4cm
26817,150mm
26818,50mm
26819,50mm
26820,125g
26821,7.74in
26822,120cm
26823,5.11
26824,41cm/16.14in
26825,5.11
26826,40 cm
26827,1.2cm
26828,1.2cm
26829,"68 cm / 26.8"""
26830,"23 cm / 9.1"""
26831,15.7in
26832,17.6in
26833,65mm
26834,3.5cm/1.38in
26835,35mm
26836,75cm
26837,265mm
26838,70mm
26839,"76 cm(30.3"")"
26840,100-110 cm
26841,3.14
26842,3.14
26843,5.51in
26844,2.7inch
26845,10 cm
26846,16 cm
26847,10 cm
26848,3.5cm 4cm
26849,3.5cm
26850,12.8cm
26851,12kg
26852,12kg
26853,"Sorry, as a base VLM I am not trained to answer this question."
26854,190
26855,"Sorry, as a base VLM I am not trained to answer this question."
26856,"Sorry, as a base VLM I am not trained to answer this question."
26857,11.7cm/4.60in
26858,15a
26859,15a
26860,65cm
26861,149cm-65cm
26862,35cm
26863,100
26864,100
26865,98 cm
26866,24 cm
26867,1300w
26868,1300w
26869,2.7 inch
26870,32mm
26871,45 cm
26872,3.15
26873,1.92in
26874,23 cm
26875,4.5in/11.5cm
26876,10.25cm/4.01in
26877,90.9-118.1inch
26878,12.4cm / 4.9inch
26879,2.1inch
26880,12cm
26881,12
26882,1.81/4.65cm
26883,22cm
26884,9
26885,20 fl oz
26886,"Sorry, as a base VLM I am not trained to answer this question."
26887,"5.3"""
26888,"5.9"""
26889,8.3in
26890,21cm / 8.3in
26891,1.8in/45.7mm
26892,3.2in/8.12mm
26893,"21,5 cm"
26894,"10,5 cm"
26895,about 40cm
26896,about 22cm
26897,about 22cm
26898,3 cm / 1.18 in
26899,192cm
26900,"Sorry, as a base VLM I am not trained to answer this question."
26901,110v
26902,110v
26903,9.1 cm
26904,9.1 cm
26905,128 g
26906,unanswerable
26907,"31.7"""
26908,30.5cm/12.0in
26909,17.7in
26910,18cm
26911,165
26912,15 cm/5.9 inch
26913,7.9
26914,30.13
26915,5.9in (150mm)
26916,5.9in
26917,33cm/12.99in
26918,59lbs
26919,20cm
26920,63cm
26921,6 cm
26922,"Sorry, as a base VLM I am not trained to answer this question."
26923,18 cm
26924,6cm
26925,45cm
26926,18.5
26927,130mm/5.12inch
26928,12 fl oz
26929,"3.3"""
26930,375g
26931,95mm
26932,14 in
26933,14 in
26934,14 in
26935,200cm/78.8in
26936,200cm/78.8in
26937,10.16cm/4in
26938,78mm/3.13inch
26939,9.5mm/0.38inch
26940,9.5mm/0.38inch
26941,3.8 inch
26942,15.5cm
26943,3.74inch/9.5cm
26944,3.93inch/10cm
26945,4 oz
26946,8cm
26947,3.7 in / 9.5 cm
26948,1.4 in / 3.5 cm
26949,1.4 in / 3.5 cm
26950,0.07
26951,58cm 81cm 19cm
26952,58cm
26953,40
26954,40
26955,7.5cm
26956,11.5cm
26957,11.5cm
26958,"32.25"""
26959,2.6in/6.5cm
26960,"47"""
26961,7.2 in / 18.5 cm
26962,3.1 in / 80 cm
26963,"23.6"""
26964,6.5cm
26965,48.5cm
26966,90mm
26967,5.11
26968,5.11 in
26969,40cm
26970,35cm
26971,35cm
26972,35
26973,"6-3/4"""
26974,270w
26975,220v
26976,27cm
26977,8cm
26978,8cm
26979,"11.4"""
26980,"Sorry, as a base VLM I am not trained to answer this question."
26981,30v
26982,30v
26983,102mm
26984,0.71kg/1.66lb
26985,0.71kg/1.66lb
26986,83cm
26987,3.1
26988,8.0cm/3.1in
26989,11cm
26990,"Sorry, as a base VLM I am not trained to answer this question."
26991,5cm/2inch
26992,28cm
26993,28cm
26994,28cm
26995,12 inch
26996,1.5 inch
26997,18 inch
26998,7.7inch
26999,83.8 oz (1/2 gallon)
27000,2.7cm
27001,14.5
27002,8.86
27003,200 cm
27004,70 cm
27005,70 cm
27006,120g
27007,1800w
27008,"Sorry, as a base VLM I am not trained to answer this question."
27009,1800w
27010,0.7 inch
27011,5.9 inch
27012,6.7 inch
27013,8 cm
27014,8 cm 10 cm
27015,0.9 in / 2.4 cm
27016,0.9 in / 2.4 cm
27017,0.9 in / 2.4 cm
27018,15.6
27019,7.2ft
27020,24 oz
27021,11.20cm
27022,8.5cm
27023,17.5cm
27024,39.37in
27025,39.37in
27026,96 cm
27027,8.5cm/3.34in
27028,8.5cm/3.34in
27029,13cm
27030,10cm/3.93in
27031,unanswerable
27032,5v
27033,82 cm
27034,14.76 in
27035,28 cm
27036,18 cm
27037,110cm
27038,15.5cm
27039,"Sorry, as a base VLM I am not trained to answer this question."
27040,kg
27041,18cm
27042,200 cm
27043,6mm
27044,297mm
27045,23 cm
27046,23 cm
27047,195cm
27048,16mm
27049,30 cm
27050,12 inch
27051,5.5 in
27052,35 cm
27053,unanswerable
27054,29.5 cm
27055,unanswerable
27056,4.5cm/1.8in
27057,4.5cm
27058,22cm
27059,35cm/ 13.78in
27060,17.3inch
27061,5.5inch
27062,1.82inch
27063,"18"""
27064,60l
27065,17.3cm/6.81in
27066,32 oz
27067,80cm/31.5in
27068,80cm/2.08ft
27069,60cm/23.6in
27070,22in
27071,22in
27072,22in
27073,"Sorry, as a base VLM I am not trained to answer this question."
27074,"11.9"""
27075,"11.9"""
27076,unanswerable
27077,6.5 ft
27078,6.5
27079,4.33
27080,33.6 cm
27081,38cm
27082,38 cm
27083,35 cm
27084,"Sorry, as a base VLM I am not trained to answer this question."
27085,50mm
27086,59mm
27087,3.5 in / 9 cm
27088,24v
27089,24v
27090,9cm
27091,3.54
27092,11cm
27093,145 mm
27094,600 mm
27095,13cm
27096,8.26
27097,2.5cm
27098,8.26
27099,13
27100,3.1 inch
27101,3.1 inch
27102,0.9 inch
27103,"70 cm(27.6"")"
27104,"205mm/8.07"""
27105,205mm
27106,"205mm/8.07"""
27107,8.5cm/3.3in
27108,5.1cm/2.0in
27109,19.5cm/7.63in
27110,19.5 oz
27111,4.5
27112,"10"""
27113,"4.75"""
27114,160g
27115,"35"""
27116,95 cm
27117,20 cm
27118,20 cm
27119,"Sorry, as a base VLM I am not trained to answer this question."
27120,2.36in
27121,"Sorry, as a base VLM I am not trained to answer this question."
27122,30w
27123,"4.5"" high"
27124,"4.5"""
27125,350mm
27126,"63 cm(25.6"")"
27127,"65 cm (25.6"")"
27128,11.8inch
27129,7.9inch
27130,34 cm
27131,22cm
27132,11cm
27133,3cm/1.2in
27134,10.20lb
27135,10.6in
27136,74.8 inch
27137,74.8 inch
27138,74.8 inch
27139,6cm (2.3inch)
27140,"10,5 cm"
27141,"2"""
27142,4.73inch
27143,10.23inch
27144,73cm
27145,unanswerable
27146,40cm 15.7in
27147,40cm 15.7in
27148,90cm
27149,26cm
27150,15in
27151,15in
27152,41
27153,8.8inch
27154,2.7inch
27155,3.5cm
27156,unanswerable
27157,87
27158,8.7
27159,1.97inch
27160,69.5 cm
27161,"80.5 cm(31.7"")"
27162,120mm
27163,32 lbs
27164,350w
27165,87 cm
27166,9.4 inch
27167,unanswerable
27168,1.25 inch
27169,"35 1/4"""
27170,1100w
27171,unanswerable
27172,110v
27173,120mm
27174,210mm
27175,26cm/10.23in
27176,8cm/3.14in
27177,5 in
27178,16.5
27179,"46"""
27180,"20"""
27181,20mm/0.79in
27182,28mm/1.1in
27183,8.4 inch
27184,3 inch
27185,11.5cm
27186,1000 mm
27187,10.2 in / 26 cm
27188,"2.5 x 3"""
27189,22 cm
27190,22 cm
27191,9.22 cm
27192,"8.26"""
27193,9.0 in / 23.0 cm
27194,9.0 in / 23.0 cm
27195,2.75inch
27196,2.75inch
27197,unanswerable
27198,2.3in
27199,"10.6"""
27200,160cm
27201,15.5cm
27202,50cm
27203,70cm
27204,100g
27205,3in
27206,3in
27207,142mm
27208,142mm
27209,65cm
27210,65cm
27211,"Sorry, as a base VLM I am not trained to answer this question."
27212,1200w
27213,24v 0.6a
27214,12v
27215,6cm/2.4in
27216,32 oz
27217,9.7cm
27218,0.2cm
27219,1.29 inch
27220,1.29 inch
27221,12 cm
27222,12 cm
27223,90 cm
27224,90 cm
27225,30 x 20 cm
27226,32 cm
27227,8.7 cm
27228,2.8cm/1.1in
27229,9cm
27230,"Sorry, as a base VLM I am not trained to answer this question."
27231,36
27232,20
27233,mm
27234,mm
27235,37lbs
27236,11cm
27237,6.3in 6in
27238,6.3in 6in
27239,3.97 inch
27240,10.6
27241,1500mm
27242,31.5
27243,94cm
27244,3.7V
27245,10 oz
27246,21cm
27247,21cm
27248,"Sorry, as a base VLM I am not trained to answer this question."
27249,13.5cm (4.5inch)
27250,90 cm
27251,19cm
27252,9.1in
27253,16 oz
27254,2.0in
27255,0.8 in / 2.0 cm
27256,0.8 in / 2.0 cm
27257,1.7 in / 4.4 cm
27258,1.2 in / 3.0 cm
27259,1.2 in
27260,1500w
27261,1500w
27262,9.3cm
27263,2.6 inches (w)
27264,about 9.9cm
27265,1.6in
27266,37.8
27267,31cm
27268,36.5cm
27269,"5ft, 7ft"
27270,"32 cm (12"")"
27271,40 cm
27272,40 cm
27273,"72 cm(28.3"")"
27274,27.6in (70cm)
27275,unanswerable
27276,132 cm/51.97 inch
27277,1.18 inch
27278,1.18 inch
27279,50cm/19.8in
27280,"600mm(23.62"")"
27281,600mm
27282,"278mm/10.8"""
27283,10 cm
27284,28.5 cm
27285,10cm
27286,10cm
27287,1.25
27288,0.87
27289,8.35
27290,unanswerable
27291,unanswerable
27292,98 lbs
27293,unanswerable
27294,3100
27295,1.77 in
27296,1.77 in
27297,1.5cm
27298,4.72 inch
27299,4.22 inch
27300,5.9 inch
27301,4.50cm
27302,6.00cm
27303,17cm/6.7in
27304,4.3in
27305,36.0 inches
27306,36.0 inches
27307,36.0 inches
27308,110mm
27309,12cm/4.7inch
27310,10cm/3.94inch
27311,20cm/8inch
27312,3.6
27313,12.40-in
27314,20cm
27315,70 cm
27316,unanswerable
27317,7.5cm/3.0in
27318,"37"""
27319,"37"""
27320,5.9 inch
27321,9.8 inch
27322,140mm
27323,140mm
27324,400 lbs
27325,38.3g
27326,32.83
27327,0.33 oz
27328,3.9 in / 10 cm
27329,3.9 in / 10 cm
27330,5.7cm
27331,"Sorry, as a base VLM I am not trained to answer this question."
27332,15.75
27333,40cm
27334,15.7
27335,39mm
27336,39mm/1.54in
27337,500w
27338,500w
27339,235mm
27340,235mm
27341,58cm
27342,10.5cm
27343,10.5cm
27344,1.8 oz
27345,40cm
27346,40cm
27347,15cm
27348,250 ml
27349,unanswerable
27350,32 cm
27351,32 cm
27352,15cm
27353,25
27354,4.9 in
27355,3.5 in
27356,2.3in/6.3cm
27357,2.5in/6.3cm
27358,140mm
27359,58mm
27360,73cm
27361,75cm
27362,1
27363,"Sorry, as a base VLM I am not trained to answer this question."
27364,10cm/3.94in
27365,10cm/3.94in
27366,10cm/3.94in
27367,120g
27368,8cm
27369,7.5cm
27370,8cm
27371,48cm
27372,155mm/610in
27373,155mm/610in
27374,1.6 meters
27375,1.6 meters
27376,1.6 meters
27377,20lbs
27378,12 fl oz
27379,"Sorry, as a base VLM I am not trained to answer this question."
27380,"Sorry, as a base VLM I am not trained to answer this question."
27381,1.0in
27382,unanswerable
27383,9.5cm/3.71in
27384,2000 lb
27385,350 lbs
27386,51cm
27387,75.5 cm
27388,80cm
27389,6
27390,4 inch
27391,3cm/0.98in
27392,800w
27393,800-3000rpm
27394,1.57 in / 4 cm
27395,5.5 in / 14 cm
27396,45cm
27397,oz
27398,35cm
27399,107.5mm/4.2in
27400,"21.5"""
27401,1.49inch
27402,4.02inch
27403,1.47inch
27404,"23"""
27405,9cm
27406,72.75 lbs
27407,3.5cm
27408,5
27409,"77,5 cm"
27410,3 cm
27411,10 cm
27412,"Sorry, as a base VLM I am not trained to answer this question."
27413,19 oz
27414,"10"""
27415,"10""tall"
27416,6.7in
27417,34in
27418,34in
27419,2.3in / 6.0cm
27420,19.8in / 45.0cm
27421,62cm
27422,105cm
27423,5m / 2535
27424,"Sorry, as a base VLM I am not trained to answer this question."
27425,12v
27426,"12"""
27427,"12"" 25"""
27428,5.12inch
27429,2.5cm/0.98in
27430,"Sorry, as a base VLM I am not trained to answer this question."
27431,"20"""
27432,18v
27433,18v
27434,2.7in
27435,6.8cm/2.7in
27436,5.90in
27437,220mm
27438,3.1 in
27439,3.1 in
27440,5.51inch
27441,2.2inch 5.5cm
27442,43.3in/110cm
27443,12.58in/32cm
27444,"3.20"" (8.1 cm)"
27445,"7.25"" (18.42 cm)"
27446,"3.25"" (8.1 cm)"
27447,100cm/39.4in
27448,100cm/39.4in
27449,220 lbs
27450,2.8 inch
27451,4.5 inch
27452,2.8 inch
27453,29.40 inch
27454,4
27455,29.40 inch
27456,1500w
27457,1000w
27458,5.5 inch
27459,5.5 inch
27460,"7.6"""
27461,"7.6"""
27462,unanswerable
27463,25cm
27464,25cm
27465,oz
27466,198mm
27467,"7.5cm/3.03"""
27468,3.4 in
27469,3.4 in
27470,13
27471,107 cm
27472,unanswerable
27473,unanswerable
27474,"3.14"""
27475,2.2cm
27476,2.2cm
27477,160
27478,0.9inch (23mm)
27479,0.9inch (23mm)
27480,95mm
27481,35mm
27482,46cm
27483,230cm
27484,200cm
27485,12
27486,"12"""
27487,1.5
27488,6.50in/16.5cm
27489,10.5v
27490,2.42 lbs
27491,1.5 m
27492,2m
27493,2.7cm (1.06inch)
27494,12 oz
27495,14cm
27496,34 cm
27497,1.76 oz
27498,10.4cm/4.06in
27499,2.44in
27500,2200w
27501,110cm/43.3in
27502,3.14in/8cm
27503,1.5cm
27504,4.3 in
27505,9.8 qt large air fryer
27506,120v
27507,60 cm
27508,0.15 in
27509,1.75 in
27510,10.23
27511,10.23
27512,4 cm
27513,"Sorry, as a base VLM I am not trained to answer this question."
27514,4.7cm
27515,1000 g
27516,6.5cm/2.4in
27517,"4"""
27518,"4"""
27519,1.2 inches
27520,1.6 inches
27521,1.25
27522,657 mm
27523,43.3
27524,223mm
27525,223mm
27526,197mm
27527,12 cm
27528,12 cm
27529,7.5cm / 3in
27530,1.5in/3.8cm
27531,16 oz
27532,7.30cm
27533,2.17/56mm
27534,2.17/56mm
27535,32mm
27536,39mm
27537,32mm
27538,1.8 in 4.6 cm
27539,3.1
27540,10.6in
27541,10.6in
27542,9.8in
27543,130mm
27544,130mm
27545,49cm
27546,2.6 in
27547,1.81inch
27548,"39.5cm/15.5"""
27549,25mm
27550,25mm
27551,30cm (1 foot)
27552,20cm
27553,30 cm
27554,4cm/1.57in
27555,10cm/1.57in
27556,2.5cm/1inch
27557,7cm
27558,unanswerable
27559,80mm
27560,6.1 lbs
27561,3.5 oz
27562,45cm/17.7in
27563,5.5 in
27564,7.75 in
27565,15 amp
27566,15 amp
27567,57 mm
27568,21 oz
27569,"1.85"" 4.7cm"
27570,26 cm
27571,"10.5"""
27572,4.5inch
27573,10.2 inch
27574,26cm
27575,60cm
27576,60cm
27577,4.7 in / 12 cm
27578,85
27579,4.1 inch / 10.4 cm
27580,11 inch / 28.3 cm
27581,0.8cm
27582,220mm
27583,250mm
27584,17.75
27585,29.5
27586,46 cm
27587,46 cm
27588,46 cm
27589,4cm/1.6inch
27590,18cm
27591,18cm
27592,18cm
27593,unanswerable
27594,33.5
27595,21cm
27596,24cm
27597,15.8
27598,about 6cm
27599,2.36in
27600,12.5cm/4.93in
27601,6cm/2.36in
27602,24.02
27603,12cm/4.72in
27604,2.5cm
27605,21cm
27606,3.4 oz
27607,7.0 in / 17.9 cm
27608,7.0 in / 17.9 cm
27609,28 inch
27610,18 inch
27611,404g/14.25oz
27612,0.51/13mm
27613,30cm
27614,30cm
27615,12cm
27616,cm
27617,15cm
27618,7cm
27619,9.49
27620,10in
27621,4.7in
27622,35cm
27623,120cm
27624,2.76inch
27625,2.76inch
27626,2.76inch
27627,"Sorry, as a base VLM I am not trained to answer this question."
27628,"Sorry, as a base VLM I am not trained to answer this question."
27629,unanswerable
27630,unanswerable
27631,4.8 in
27632,1.5 in / 4.5 cm
27633,"10.5"""
27634,0.98in
27635,2.5cm
27636,2.5cm
27637,2.4 g
27638,110mm
27639,110mm
27640,12v 5a
27641,2.5 in / 64 cm
27642,1.3 in / 3.4 cm
27643,unanswerable
27644,unanswerable
27645,1.5 cm / 0.59 in
27646,3.1 in
27647,12v
27648,20cm
27649,36.5cm
27650,20cm
27651,3.1in/7.9cm
27652,3.5 in / 8.9cm
27653,1
27654,2.01in
27655,2.01in
27656,"75mm/2.95"""
27657,"120mm/4.72"""
27658,1.5w
27659,12v
27660,"12"""
27661,"12"""
27662,12.2in
27663,2.1cm/0.83in
27664,53.9 cm
27665,5.7in
27666,6.29
27667,6.13 lbs
27668,15 cm
27669,"15"""
27670,"15"""
27671,102
27672,102
27673,102
27674,"24"""
27675,"24"""
27676,"20"""
27677,37cm
27678,"7.79"""
27679,"19.8cm/7.79"""
27680,93cm
27681,15 cm
27682,40 cm
27683,8inch
27684,20cm/8inch
27685,20cm/8inch
27686,47 inch
27687,"Sorry, as a base VLM I am not trained to answer this question."
27688,"Sorry, as a base VLM I am not trained to answer this question."
27689,15cm
27690,30.32
27691,8mm
27692,90 cm
27693,60 cm
27694,183mm
27695,"80 cm 31.5"""
27696,3.39inch
27697,3.39inch
27698,"4.4"" 15.0"""
27699,"4.4"""
27700,20kg
27701,30cm
27702,"Sorry, as a base VLM I am not trained to answer this question."
27703,2.75
27704,43 cm/16.91 in
27705,20cm
27706,13.8in
27707,3.5cm
27708,9cm/3.54in
27709,9cm/3.54in
27710,3in/7.5cm
27711,12cm
27712,26 cm
27713,h75mm
27714,100
27715,"23.4"""
27716,"Sorry, as a base VLM I am not trained to answer this question."
27717,"l:5"" (13cm)"
27718,44 cm
27719,"Sorry, as a base VLM I am not trained to answer this question."
27720,17.5 in
27721,8.6in
27722,7cm
27723,8cm
27724,7 inch
27725,3.5 inch
27726,6.4cm
27727,4.6cm
27728,85cm
27729,85cm
27730,18cm/7.4inch
27731,"3.25"""
27732,"6.25"""
27733,25cm
27734,25cm
27735,9.8 inch
27736,13 oz
27737,21cm
27738,7cm
27739,7cm
27740,410mm
27741,16 oz
27742,1.7cm
27743,13.5cm
27744,13.5cm
27745,7.8 in
27746,unanswerable
27747,7.8 in
27748,30cm
27749,"30cm/11.8"""
27750,7.87inch
27751,7.87inch
27752,7.87
27753,9.5cm 12cm
27754,12cm
27755,3
27756,"39"""
27757,16cm/6.31in
27758,105cm/40.57in
27759,1.77
27760,56mm
27761,31.5inches
27762,12.5cm
27763,12.5cm
27764,3x 150g
27765,5.1
27766,2 inches
27767,5.6cm
27768,4cm
27769,13.75 oz
27770,9cm
27771,"16"""
27772,20
27773,120g
27774,25cm(9.8inch)
27775,25cm
27776,6.5cm
27777,50.5
27778,54.5
27779,9.2cm
27780,11.02in / 28cm
27781,1.57in (4cm)
27782,14
27783,2.5kg
27784,18.37
27785,"Sorry, as a base VLM I am not trained to answer this question."
27786,21cm
27787,21cm
27788,88.5 cm
27789,69.7
27790,23.5cm/10.8in
27791,unanswerable
27792,32 oz
27793,101mm/4inch
27794,4
27795,42cm
27796,35mm/1.38in
27797,30cm
27798,30cm
27799,30cm
27800,unanswerable
27801,7
27802,14
27803,85 cm
27804,14.56
27805,650
27806,220-240v
27807,unanswerable
27808,77.6
27809,74.8
27810,5v
27811,5w
27812,44lbs
27813,100
27814,11.5cm
27815,60 cm
27816,43 cm
27817,12cm
27818,"13cm/5"""
27819,2.16 in / 5.5 cm
27820,2.16 in / 5.5 cm
27821,0.5 in
27822,4 in
27823,175mm
27824,175mm
27825,28mm
27826,20cm/7.9in
27827,652 mm
27828,"10,000 btu"
27829,120
27830,"45.3"""
27831,7.5cm
27832,23.6
27833,14.75
27834,2.76 in
27835,8.3 inch
27836,"Sorry, as a base VLM I am not trained to answer this question."
27837,7cm
27838,7cm
27839,unanswerable
27840,15.7 in / 40 cm
27841,9.0 in / 23 cm
27842,3.7 V
27843,7.87in
27844,4.6cm/1.81in
27845,16
27846,11 cm
27847,10.5
27848,unanswerable
27849,110mm/4.33inch
27850,2.75
27851,9
27852,5.9 inches
27853,8.5cm
27854,12.4cm
27855,12.4cm
27856,"Sorry, as a base VLM I am not trained to answer this question."
27857,60cm
27858,0.236lb
27859,10.63in
27860,26cm
27861,19.5cm
27862,2.5cm/1in
27863,2.5cm/1in
27864,27.2g
27865,18.3in
27866,17cm
27867,8.7in
27868,1.61 pounds
27869,"Sorry, as a base VLM I am not trained to answer this question."
27870,37
27871,unanswerable
27872,"Sorry, as a base VLM I am not trained to answer this question."
27873,11cm
27874,"Sorry, as a base VLM I am not trained to answer this question."
27875,16cm/6.3in
27876,"Sorry, as a base VLM I am not trained to answer this question."
27877,6.3in
27878,1.9 in / 5.0 cm
27879,1.9 in / 5.0 cm
27880,22 inches
