index,prediction
26418,26 centimetre
26419,
26420,5.12 inch
26421,1.5 inch
26422,
26423,165 centimetre
26424,1.57 inch
26425,42 mm 125 millimetre
26426,125 millimetre
26427,12.3 kilogram
26428,30 centimetre
26429,14.17 inch
26430,14.17 inch
26431,14.17 centimetre
26432,"14.5"""
26433,8.5 centimetre
26434,30 centimetre
26435,30 centimetre
26436,30 centimetre
26437,"4"""
26438,"4"" 10"""
26439,10 gram
26440,"300lbs, pounds"
26441,15 centimetre
26442,15 centimetre
26443,5.9 inch
26444,1.8 inch
26445,
26446,1 metre
26447,191 centimetre
26448,13 cm 125 centimetre
26449,40.2 inch
26450,50 millimetre
26451,50 millimetre
26452,50 millimetre
26453,
26454,95 millimetre
26455,87 centimetre
26456,44.5 centimetre
26457,3.15 centimetre
26458,3.7 ounce
26459,22.8 centimetre
26460,22.8 centimetre
26461,22.8 centimetre
26462,80 centimetre
26463,6 centimetre
26464,6 centimetre
26465,11.5 centimetre
26466,130 millimetre
26467,120 millimetre
26468,32 pounds
26469,5.5 inch
26470,238 millimetre
26471,78 millimetre
26472,4.33 inches
26473,4.33 inches
26474,100 centimetre
26475,125 gram
26476,145 millimetre
26477,5 centimetre
26478,
26479,2.12 ounce
26480,160 millimetre
26481,5.8 centimetre
26482,18.11 centimetre
26483,18.11 centimetre
26484,39 centimetre
26485,12 millimetre
26486,2.48 inch
26487,2.48 inch
26488,15 centimetre
26489,52.7 inch
26490,52.7 inch
26491,1200 centimetre
26492,120 centimetre
26493,152 centimetre
26494,100 gram
26495,5 inch
26496,100 centimetre
26497,4.5 centimetre
26498,35 centimetre
26499,35 centimetre
26500,
26501,
26502,
26503,160 centimetre
26504,100 centimetre
26505,10 centimetre
26506,10 centimetre
26507,73 millimetre
26508,60 millimetre
26509,1.6 inch
26510,
26511,550 centimetre
26512,5.5 centimetre
26513,"15.55"" 24.4"""
26514,"15.59"""
26515,20 millimetre
26516,50 centimetre
26517,50 centimetre
26518,6.7 inch
26519,70 centimetre
26520,12 volts
26521,12 centimetre
26522,13.4 kilogram
26523,36.5 centimetre
26524,35 centimetre
26525,35 gram
26526,"15.7"""
26527,3.93 inch
26528,3.54 inches
26529,1.37 inches
26530,8.9 centimetre
26531,76.75 centimetre
26532,"10.25"""
26533,10.25 centimetre
26534,
26535,100 millimetre
26536,24 centimetre
26537,0.01 lb
26538,66.37 centimetre
26539,16 centimetre
26540,350 centimetre
26541,350 centimetre
26542,250 centimetre
26543,10 centimetre
26544,30.5 centimetre
26545,3.3 inch
26546,2.8 centimetre
26547,2.5 centimetre
26548,"24"""
26549,1.9 millimetre
26550,2.95 inch
26551,2.95 inch
26552,10.24 inch
26553,6 centimetre
26554,1.8 inch
26555,12 centimetre
26556,7.5 inch
26557,1.4 inch
26558,6 volt
26559,5.51 inch
26560,14 centimetre
26561,5.9 inch
26562,5.9 centimetre
26563,7 centimetre
26564,2.75 centimetre
26565,8 centimetre
26566,8 centimetre
26567,0.1 gram
26568,25.5 centimetre
26569,10 centimetre
26570,
26571,10 x20mm
26572,3.5 centimetre
26573,1.5 centimetre
26574,1700 watts
26575,120 volts
26576,
26577,
26578,31 centimetre
26579,8.85 gram
26580,3.28 lb
26581,18 centimetre
26582,18 centimetre
26583,18 centimetre
26584,84 centimetre
26585,"18"""
26586,28 centimetre
26587,291 centimetre
26588,11.43 centimetre
26589,36 watts
26590,3000k-6000k
26591,"8"""
26592,2 centimetre
26593,14.18 centimetre
26594,18.4 millimetre
26595,9.5 centimetre
26596,3.74 inch
26597,16 millimetre
26598,40 centimetre
26599,17.00 centimetre
26600,8.11 inch
26601,68 centimetre
26602,68 centimetre
26603,8.5 centimetre
26604,8.5 centimetre
26605,120 centimetre
26606,3.75 kilogram
26607,7.5 centimetre
26608,20.8 centimetre
26609,3.6 ounce
26610,7.0 centimetre
26611,10.1 centimetre
26612,7.0 centimetre
26613,36 centimetre
26614,19.5 centimetre
26615,33 centimetre
26616,66cm 1.41in
26617,40x40 centimetre
26618,5 centimetre
26619,40x40 centimetre
26620,5 centimetre
26621,5 centimetre
26622,22 centimetre
26623,3 centimetre
26624,30 gram
26625,1.4 centimetre
26626,5.6 in 14 centimetre
26627,3.6 inch
26628,22 centimetre
26629,100 centimetre
26630,55 lbs with battery
26631,
26632,6.3 inch
26633,6.3 inch
26634,38 centimetre
26635,35.5 centimetre
26636,1.77 inch
26637,1.77 inch
26638,6 inch
26639,2.5 centimetre
26640,2.5 centimetre
26641,163 millimetre
26642,12.5 centimetre
26643,9.2 centimetre
26644,3.8 centimetre
26645,3.8 centimetre
26646,3.8 watt
26647,
26648,3 metre
26649,3 centimetre
26650,5.78 centimetre
26651,10.5 centimetre
26652,15.6 inch
26653,21.2 ounce
26654,30lbs-50lbs
26655,95 centimetre
26656,10.62 inch
26657,10.62 inch
26658,5.11 inch
26659,2.7 inch
26660,13 centimetre
26661,17 centimetre
26662,17 centimetre
26663,11 centimetre
26664,11 centimetre
26665,12 ounce
26666,3.7 V
26667,3.4 inch
26668,"12.6"""
26669,12v 2.0w
26670,12 volts
26671,
26672,5.0 centimetre
26673,5.0 centimetre
26674,24 centimetre
26675,26 centimetre
26676,90 centimetre
26677,2 kw
26678,108 millimetre
26679,1.26 kilogram
26680,3.1 inch
26681,10.5 centimetre
26682,3 centimetre
26683,20 centimetre
26684,15.3 kilogram
26685,30 centimetre
26686,21 centimetre
26687,10.5 centimetre
26688,"377g, abs resin shell"
26689,8.27 centimetre
26690,8.27 centimetre
26691,50.0 centimetre
26692,21 centimetre
26693,2.2 inch
26694,2.2 inch
26695,6.2 centimetre
26696,6.2 centimetre
26697,"0.84"""
26698,"0.94"""
26699,5.12 inch
26700,
26701,6.3 inch
26702,8 ounce
26703,45 centimetre
26704,8.31 gram
26705,21 centimetre
26706,76 centimetre
26707,3.2 centimetre
26708,3.2 centimetre
26709,500 kilogram
26710,500 kilogram
26711,7.5 centimetre
26712,11 centimetre
26713,13 centimetre
26714,101.5 centimetre
26715,7 centimetre
26716,"24"""
26717,6 centimetre
26718,2.5 inch
26719,2.5 inch
26720,17.5 centimetre
26721,17.5 centimetre
26722,6cm 11cm
26723,6 centimetre
26724,43.31 centimetre
26725,"3.0"""
26726,190 millimetre
26727,40 centimetre
26728,108 inch
26729,1200 watts
26730,1200 watts
26731,25 mmx100m
26732,25 mmx100m
26733,25 millimetre
26734,25 centimetre
26735,25 cm 35 centimetre
26736,"3.39"""
26737,330 pounds
26738,"5.7"""
26739, 1
26740,106 centimetre
26741,3.2 centimetre
26742,2.8 centimetre
26743,12 centimetre
26744,1 inch
26745,29.92 gram
26746,32.65 centimetre
26747,495.3 centimetre
26748,80 centimetre
26749,42 centimetre
26750,6 inch
26751,5.8 inch
26752,70 centimetre
26753,
26754,20v max
26755,1.62 ounce
26756,43 centimetre
26757,
26758,9.13 inch
26759,9.13 inch
26760,7.5 centimetre
26761,13.3 inch
26762,13.3 inch
26763,16.9 inch
26764,38-in
26765,2.8 centimetre
26766,"6.4"""
26767,165 gram
26768,21 centimetre
26769,14.5 millimetre
26770,16.5 centimetre
26771,1.6 inch
26772,1.75 inch
26773,83*100mm
26774,"0.4"""
26775,400 pounds
26776,"4.7"""
26777,72 centimetre
26778,18.91 centimetre
26779,3.0 inch
26780,6.0 inch
26781,"33"""
26782,8 centimetre
26783,5.9 inch
26784,8.6 inch
26785,1500 watts
26786,115 volts
26787,27 inch
26788,4 centimetre
26789,60 centimetre
26790,4.5 centimetre
26791,28.5 centimetre
26792,740-1120 millimetre
26793,3.5 centimetre
26794,3.5 gram
26795,26 centimetre
26796,4.3 pounds
26797,7.43 kilogram
26798,"2.2"""
26799,137 millimetre
26800,6 centimetre
26801,6 centimetre
26802,32.3 centimetre
26803,16 centimetre
26804,1.83 lb
26805,12 centimetre
26806,54 centimetre
26807,35 inch
26808,11 centimetre
26809,30 centimetre
26810,"39.37"""
26811,110 pounds
26812,1.7 inches
26813,1.7 inches
26814,1.7 inches
26815,9 inch
26816,1.6 inch
26817,150 millimetre
26818,50 millimetre
26819,50 millimetre
26820,125 gram
26821,7.74 inch
26822,120 centimetre
26823,5.11 centimetre
26824,41 centimetre
26825,5.11 centimetre
26826,40 centimetre
26827,1.2 centimetre
26828,1.2 centimetre
26829,68 centimetre
26830,23 centimetre
26831,15.7 inch
26832,17.6 inch
26833,65 millimetre
26834,3.5 centimetre
26835,35 millimetre
26836,75 centimetre
26837,265 millimetre
26838,70 millimetre
26839,76 centimetre
26840,100-110 centimetre
26841,3.14 centimetre
26842,3.14 watt
26843,5.51 inch
26844,2.7 inch
26845,10 centimetre
26846,16 centimetre
26847,10 centimetre
26848,3.5cm 4cm
26849,3.5 centimetre
26850,12.8 centimetre
26851,12 kilogram
26852,12 kilogram
26853,
26854,190 gram
26855,
26856,
26857,11.7 centimetre
26858,15 a
26859,15 a
26860,65 centimetre
26861,149cm-65cm
26862,35 centimetre
26863,100 centimetre
26864,100 centimetre
26865,98 centimetre
26866,24 centimetre
26867,1300 watts
26868,1300 watts
26869,2.7 inch
26870,32 millimetre
26871,45 centimetre
26872,3.15 centimetre
26873,1.92 inch
26874,23 centimetre
26875,4.5 inch
26876,10.25 centimetre
26877,90.9-118.1inch
26878,12.4 centimetre
26879,2.1 inch
26880,12 centimetre
26881,12 centimetre
26882,1.8 1
26883,22 centimetre
26884,9 centimetre
26885,20 fl ounce
26886,
26887,"5.3"""
26888,"5.9"""
26889,8.3 inch
26890,21 centimetre
26891,1.8 inch
26892,3.2 inch
26893,"21,5 centimetre"
26894,"10,5 centimetre"
26895,about 40cm
26896,about 22cm
26897,about 22cm
26898,3 centimetre
26899,192 centimetre
26900,
26901,110 volts
26902,110 volts
26903,9.1 centimetre
26904,9.1 centimetre
26905,128 gram
26906,
26907,"31.7"""
26908,30.5 centimetre
26909,17.7 inch
26910,18 centimetre
26911,165 watt
26912,15 centimetre
26913,7.9 gram
26914,30.13 centimetre
26915,5.9 inch
26916,5.9 inch
26917,33 centimetre
26918,59 pounds
26919,20 centimetre
26920,63 centimetre
26921,6 centimetre
26922,
26923,18 centimetre
26924,6 centimetre
26925,45 centimetre
26926,18.5 centimetre
26927,130 millimetre
26928,12 fl ounce
26929,"3.3"""
26930,375 gram
26931,95 millimetre
26932,14 inch
26933,14 inch
26934,14 inch
26935,200 centimetre
26936,200 centimetre
26937,10.16 centimetre
26938,78 millimetre
26939,9.5 millimetre
26940,9.5 millimetre
26941,3.8 inch
26942,15.5 centimetre
26943,3.74 inch
26944,3.93 inch
26945,4 ounce
26946,8 centimetre
26947,3.7 inch
26948,1.4 inch
26949,1.4 inch
26950,0.07 centimetre
26951,58cm 81cm 19cm
26952,58 centimetre
26953,40 centimetre
26954,40 centimetre
26955,7.5 centimetre
26956,11.5 centimetre
26957,11.5 centimetre
26958,"32.25"""
26959,2.6 inch
26960,"47"""
26961,7.2 inch
26962,3.1 inch
26963,"23.6"""
26964,6.5 centimetre
26965,48.5 centimetre
26966,90 millimetre
26967,5.11 centimetre
26968,5.11 inch
26969,40 centimetre
26970,35 centimetre
26971,35 centimetre
26972,35 centimetre
26973,6-3
26974,270 watts
26975,220 volts
26976,27 centimetre
26977,8 centimetre
26978,8 centimetre
26979,"11.4"""
26980,
26981,30 volts
26982,30 volts
26983,102 millimetre
26984,0.71 kilogram
26985,0.71 kilogram
26986,83 centimetre
26987,3.1 gram
26988,8.0 centimetre
26989,11 centimetre
26990,
26991,5 centimetre
26992,28 centimetre
26993,28 centimetre
26994,28 centimetre
26995,12 inch
26996,1.5 inch
26997,18 inch
26998,7.7 inch
26999,83.8 ounce
27000,2.7 centimetre
27001,14.5 centimetre
27002,8.86 gram
27003,200 centimetre
27004,70 centimetre
27005,70 centimetre
27006,120 gram
27007,1800 watts
27008,
27009,1800 watts
27010,0.7 inch
27011,5.9 inch
27012,6.7 inch
27013,8 centimetre
27014,8 cm 10 centimetre
27015,0.9 inch
27016,0.9 inch
27017,0.9 inch
27018,15.6 centimetre
27019,7.2 feet
27020,24 ounce
27021,11.20 centimetre
27022,8.5 centimetre
27023,17.5 centimetre
27024,39.37 inch
27025,39.37 inch
27026,96 centimetre
27027,8.5 centimetre
27028,8.5 centimetre
27029,13 centimetre
27030,10 centimetre
27031,
27032,5 volts
27033,82 centimetre
27034,14.76 inch
27035,28 centimetre
27036,18 centimetre
27037,110 centimetre
27038,15.5 centimetre
27039,
27040, kilogram
27041,18 centimetre
27042,200 centimetre
27043,6 millimetre
27044,297 millimetre
27045,23 centimetre
27046,23 centimetre
27047,195 centimetre
27048,16 millimetre
27049,30 centimetre
27050,12 inch
27051,5.5 inch
27052,35 centimetre
27053,
27054,29.5 centimetre
27055,
27056,4.5 centimetre
27057,4.5 centimetre
27058,22 centimetre
27059,35 centimetre
27060,17.3 inch
27061,5.5 inch
27062,1.82 inch
27063,"18"""
27064,60 l
27065,17.3 centimetre
27066,32 ounce
27067,80 centimetre
27068,80 centimetre
27069,60 centimetre
27070,22 inch
27071,22 inch
27072,22 inch
27073,
27074,"11.9"""
27075,"11.9"""
27076,
27077,6.5 feet
27078,6.5 centimetre
27079,4.33 centimetre
27080,33.6 centimetre
27081,38 centimetre
27082,38 centimetre
27083,35 centimetre
27084,
27085,50 millimetre
27086,59 millimetre
27087,3.5 inch
27088,24 volts
27089,24 volts
27090,9 centimetre
27091,3.54 centimetre
27092,11 centimetre
27093,145 millimetre
27094,600 millimetre
27095,13 centimetre
27096,8.26 gram
27097,2.5 centimetre
27098,8.26 centimetre
27099,13 centimetre
27100,3.1 inch
27101,3.1 inch
27102,0.9 inch
27103,70 centimetre
27104,205 millimetre
27105,205 millimetre
27106,205 millimetre
27107,8.5 centimetre
27108,5.1 centimetre
27109,19.5 centimetre
27110,19.5 ounce
27111,4.5 centimetre
27112,"10"""
27113,"4.75"""
27114,160 gram
27115,"35"""
27116,95 centimetre
27117,20 centimetre
27118,20 centimetre
27119,
27120,2.36 inch
27121,
27122,30 watts
27123,"4.5"" high"
27124,"4.5"""
27125,350 millimetre
27126,63 centimetre
27127,65 centimetre
27128,11.8 inch
27129,7.9 inch
27130,34 centimetre
27131,22 centimetre
27132,11 centimetre
27133,3 centimetre
27134,10.20 lb
27135,10.6 inch
27136,74.8 inch
27137,74.8 inch
27138,74.8 inch
27139,6 centimetre
27140,"10,5 centimetre"
27141,"2"""
27142,4.73 inch
27143,10.23 inch
27144,73 centimetre
27145,
27146,40cm 15.7in
27147,40cm 15.7in
27148,90 centimetre
27149,26 centimetre
27150,15 inch
27151,15 inch
27152,41 centimetre
27153,8.8 inch
27154,2.7 inch
27155,3.5 centimetre
27156,
27157,87 centimetre
27158,8.7 centimetre
27159,1.97 inch
27160,69.5 centimetre
27161,80.5 centimetre
27162,120 millimetre
27163,32 pounds
27164,350 watts
27165,87 centimetre
27166,9.4 inch
27167,
27168,1.25 inch
27169,35 1
27170,1100 watts
27171,
27172,110 volts
27173,120 millimetre
27174,210 millimetre
27175,26 centimetre
27176,8 centimetre
27177,5 inch
27178,16.5 gram
27179,"46"""
27180,"20"""
27181,20 millimetre
27182,28 millimetre
27183,8.4 inch
27184,3 inch
27185,11.5 centimetre
27186,1000 millimetre
27187,10.2 inch
27188,"2.5 x 3"""
27189,22 centimetre
27190,22 centimetre
27191,9.22 centimetre
27192,"8.26"""
27193,9.0 inch
27194,9.0 inch
27195,2.75 inch
27196,2.75 inch
27197,
27198,2.3 inch
27199,"10.6"""
27200,160 centimetre
27201,15.5 centimetre
27202,50 centimetre
27203,70 centimetre
27204,100 gram
27205,3 inch
27206,3 inch
27207,142 millimetre
27208,142 millimetre
27209,65 centimetre
27210,65 centimetre
27211,
27212,1200 watts
27213,24v 0.6a
27214,12 volts
27215,6 centimetre
27216,32 ounce
27217,9.7 centimetre
27218,0.2 centimetre
27219,1.29 inch
27220,1.29 inch
27221,12 centimetre
27222,12 centimetre
27223,90 centimetre
27224,90 centimetre
27225,30 x 20 centimetre
27226,32 centimetre
27227,8.7 centimetre
27228,2.8 centimetre
27229,9 centimetre
27230,
27231,36 centimetre
27232,20 centimetre
27233, millimetre
27234, millimetre
27235,37 pounds
27236,11 centimetre
27237,6.3in 6in
27238,6.3in 6in
27239,3.97 inch
27240,10.6 centimetre
27241,1500 millimetre
27242,31.5 centimetre
27243,94 centimetre
27244,3.7 V
27245,10 ounce
27246,21 centimetre
27247,21 centimetre
27248,
27249,13.5 centimetre
27250,90 centimetre
27251,19 centimetre
27252,9.1 inch
27253,16 ounce
27254,2.0 inch
27255,0.8 inch
27256,0.8 inch
27257,1.7 inch
27258,1.2 inch
27259,1.2 inch
27260,1500 watts
27261,1500 watts
27262,9.3 centimetre
27263,2.6 inches
27264,about 9.9cm
27265,1.6 inch
27266,37.8 centimetre
27267,31 centimetre
27268,36.5 centimetre
27269,"5ft, 7ft"
27270,32 centimetre
27271,40 centimetre
27272,40 centimetre
27273,72 centimetre
27274,27.6 inch
27275,
27276,132 centimetre
27277,1.18 inch
27278,1.18 inch
27279,50 centimetre
27280,600 millimetre
27281,600 millimetre
27282,278 millimetre
27283,10 centimetre
27284,28.5 centimetre
27285,10 centimetre
27286,10 centimetre
27287,1.25 centimetre
27288,0.87 centimetre
27289,8.35 centimetre
27290,
27291,
27292,98 pounds
27293,
27294,3100 centimetre
27295,1.77 inch
27296,1.77 inch
27297,1.5 centimetre
27298,4.72 inch
27299,4.22 inch
27300,5.9 inch
27301,4.50 centimetre
27302,6.00 centimetre
27303,17 centimetre
27304,4.3 inch
27305,36.0 inches
27306,36.0 inches
27307,36.0 inches
27308,110 millimetre
27309,12 centimetre
27310,10 centimetre
27311,20 centimetre
27312,3.6 centimetre
27313,12.40-in
27314,20 centimetre
27315,70 centimetre
27316,
27317,7.5 centimetre
27318,"37"""
27319,"37"""
27320,5.9 inch
27321,9.8 inch
27322,140 millimetre
27323,140 millimetre
27324,400 pounds
27325,38.3 gram
27326,32.83 centimetre
27327,0.33 ounce
27328,3.9 inch
27329,3.9 inch
27330,5.7 centimetre
27331,
27332,15.75 gram
27333,40 centimetre
27334,15.7 centimetre
27335,39 millimetre
27336,39 millimetre
27337,500 watts
27338,500 watts
27339,235 millimetre
27340,235 millimetre
27341,58 centimetre
27342,10.5 centimetre
27343,10.5 centimetre
27344,1.8 ounce
27345,40 centimetre
27346,40 centimetre
27347,15 centimetre
27348,250 millilitre
27349,
27350,32 centimetre
27351,32 centimetre
27352,15 centimetre
27353,25 centimetre
27354,4.9 inch
27355,3.5 inch
27356,2.3 inch
27357,2.5 inch
27358,140 millimetre
27359,58 millimetre
27360,73 centimetre
27361,75 centimetre
27362,1 centimetre
27363,
27364,10 centimetre
27365,10 centimetre
27366,10 centimetre
27367,120 gram
27368,8 centimetre
27369,7.5 centimetre
27370,8 centimetre
27371,48 centimetre
27372,155 millimetre
27373,155 millimetre
27374,1.6 meters
27375,1.6 meters
27376,1.6 meters
27377,20 pounds
27378,12 fl ounce
27379,
27380,
27381,1.0 inch
27382,
27383,9.5 centimetre
27384,2000 lb
27385,350 pounds
27386,51 centimetre
27387,75.5 centimetre
27388,80 centimetre
27389,6 centimetre
27390,4 inch
27391,3 centimetre
27392,800 watts
27393,800-3000rpm
27394,1.57 inch
27395,5.5 inch
27396,45 centimetre
27397, ounce
27398,35 centimetre
27399,107.5 millimetre
27400,"21.5"""
27401,1.49 inch
27402,4.02 inch
27403,1.47 inch
27404,"23"""
27405,9 centimetre
27406,72.75 pounds
27407,3.5 centimetre
27408,5 centimetre
27409,"77,5 centimetre"
27410,3 centimetre
27411,10 centimetre
27412,
27413,19 ounce
27414,"10"""
27415,"10""tall"
27416,6.7 inch
27417,34 inch
27418,34 inch
27419,2.3 inch
27420,19.8 inch
27421,62 centimetre
27422,105 centimetre
27423,5 metre
27424,
27425,12 volts
27426,"12"""
27427,"12"" 25"""
27428,5.12 inch
27429,2.5 centimetre
27430,
27431,"20"""
27432,18 volts
27433,18 volts
27434,2.7 inch
27435,6.8 centimetre
27436,5.90 inch
27437,220 millimetre
27438,3.1 inch
27439,3.1 inch
27440,5.51 inch
27441,2.2inch 5.5cm
27442,43.3 inch
27443,12.58 inch
27444,"3.20"""
27445,"7.25"""
27446,"3.25"""
27447,100 centimetre
27448,100 centimetre
27449,220 pounds
27450,2.8 inch
27451,4.5 inch
27452,2.8 inch
27453,29.40 inch
27454,4 gram
27455,29.40 inch
27456,1500 watts
27457,1000 watts
27458,5.5 inch
27459,5.5 inch
27460,"7.6"""
27461,"7.6"""
27462,
27463,25 centimetre
27464,25 centimetre
27465, ounce
27466,198 millimetre
27467,7.5 centimetre
27468,3.4 inch
27469,3.4 inch
27470,13 gram
27471,107 centimetre
27472,
27473,
27474,"3.14"""
27475,2.2 centimetre
27476,2.2 centimetre
27477,160 centimetre
27478,0.9 inch
27479,0.9 inch
27480,95 millimetre
27481,35 millimetre
27482,46 centimetre
27483,230 centimetre
27484,200 centimetre
27485,12 centimetre
27486,"12"""
27487,1.5 centimetre
27488,6.50 inch
27489,10.5 volts
27490,2.42 pounds
27491,1.5 metre
27492,2 metre
27493,2.7 centimetre
27494,12 ounce
27495,14 centimetre
27496,34 centimetre
27497,1.76 ounce
27498,10.4 centimetre
27499,2.44 inch
27500,2200 watts
27501,110 centimetre
27502,3.14 inch
27503,1.5 centimetre
27504,4.3 inch
27505,9.8 qt large air fryer
27506,120 volts
27507,60 centimetre
27508,0.15 inch
27509,1.75 inch
27510,10.23 centimetre
27511,10.23 centimetre
27512,4 centimetre
27513,
27514,4.7 centimetre
27515,1000 gram
27516,6.5 centimetre
27517,"4"""
27518,"4"""
27519,1.2 inches
27520,1.6 inches
27521,1.25 centimetre
27522,657 millimetre
27523,43.3 centimetre
27524,223 millimetre
27525,223 millimetre
27526,197 millimetre
27527,12 centimetre
27528,12 centimetre
27529,7.5 centimetre
27530,1.5 inch
27531,16 ounce
27532,7.30 centimetre
27533,2.1 7
27534,2.1 7
27535,32 millimetre
27536,39 millimetre
27537,32 millimetre
27538,1.8 in 4.6 centimetre
27539,3.1 centimetre
27540,10.6 inch
27541,10.6 inch
27542,9.8 inch
27543,130 millimetre
27544,130 millimetre
27545,49 centimetre
27546,2.6 inch
27547,1.81 inch
27548,39.5 centimetre
27549,25 millimetre
27550,25 millimetre
27551,30 centimetre
27552,20 centimetre
27553,30 centimetre
27554,4 centimetre
27555,10 centimetre
27556,2.5 centimetre
27557,7 centimetre
27558,
27559,80 millimetre
27560,6.1 pounds
27561,3.5 ounce
27562,45 centimetre
27563,5.5 inch
27564,7.75 inch
27565,15 amp
27566,15 amp
27567,57 millimetre
27568,21 ounce
27569,"1.85"" 4.7cm"
27570,26 centimetre
27571,"10.5"""
27572,4.5 inch
27573,10.2 inch
27574,26 centimetre
27575,60 centimetre
27576,60 centimetre
27577,4.7 inch
27578,85 centimetre
27579,4.1 inch
27580,11 inch
27581,0.8 centimetre
27582,220 millimetre
27583,250 millimetre
27584,17.75 centimetre
27585,29.5 centimetre
27586,46 centimetre
27587,46 centimetre
27588,46 centimetre
27589,4 centimetre
27590,18 centimetre
27591,18 centimetre
27592,18 centimetre
27593,
27594,33.5 centimetre
27595,21 centimetre
27596,24 centimetre
27597,15.8 centimetre
27598,about 6cm
27599,2.36 inch
27600,12.5 centimetre
27601,6 centimetre
27602,24.02 centimetre
27603,12 centimetre
27604,2.5 centimetre
27605,21 centimetre
27606,3.4 ounce
27607,7.0 inch
27608,7.0 inch
27609,28 inch
27610,18 inch
27611,404 gram
27612,0.5 1
27613,30 centimetre
27614,30 centimetre
27615,12 centimetre
27616, centimetre
27617,15 centimetre
27618,7 centimetre
27619,9.49 centimetre
27620,10 inch
27621,4.7 inch
27622,35 centimetre
27623,120 centimetre
27624,2.76 inch
27625,2.76 inch
27626,2.76 inch
27627,
27628,
27629,
27630,
27631,4.8 inch
27632,1.5 inch
27633,"10.5"""
27634,0.98 inch
27635,2.5 centimetre
27636,2.5 centimetre
27637,2.4 gram
27638,110 millimetre
27639,110 millimetre
27640,12v 5a
27641,2.5 inch
27642,1.3 inch
27643,
27644,
27645,1.5 centimetre
27646,3.1 inch
27647,12 volts
27648,20 centimetre
27649,36.5 centimetre
27650,20 centimetre
27651,3.1 inch
27652,3.5 inch
27653,1 centimetre
27654,2.01 inch
27655,2.01 inch
27656,75 millimetre
27657,120 millimetre
27658,1.5 watts
27659,12 volts
27660,"12"""
27661,"12"""
27662,12.2 inch
27663,2.1 centimetre
27664,53.9 centimetre
27665,5.7 inch
27666,6.29 centimetre
27667,6.13 pounds
27668,15 centimetre
27669,"15"""
27670,"15"""
27671,102 centimetre
27672,102 centimetre
27673,102 centimetre
27674,"24"""
27675,"24"""
27676,"20"""
27677,37 centimetre
27678,"7.79"""
27679,19.8 centimetre
27680,93 centimetre
27681,15 centimetre
27682,40 centimetre
27683,8 inch
27684,20 centimetre
27685,20 centimetre
27686,47 inch
27687,
27688,
27689,15 centimetre
27690,30.32 centimetre
27691,8 millimetre
27692,90 centimetre
27693,60 centimetre
27694,183 millimetre
27695,"80 cm 31.5"""
27696,3.39 inch
27697,3.39 inch
27698,"4.4"" 15.0"""
27699,"4.4"""
27700,20 kilogram
27701,30 centimetre
27702,
27703,2.75 centimetre
27704,43 centimetre
27705,20 centimetre
27706,13.8 inch
27707,3.5 centimetre
27708,9 centimetre
27709,9 centimetre
27710,3 inch
27711,12 centimetre
27712,26 centimetre
27713, h75mm
27714,100 centimetre
27715,"23.4"""
27716,
27717,"l:5"""
27718,44 centimetre
27719,
27720,17.5 inch
27721,8.6 inch
27722,7 centimetre
27723,8 centimetre
27724,7 inch
27725,3.5 inch
27726,6.4 centimetre
27727,4.6 centimetre
27728,85 centimetre
27729,85 centimetre
27730,18 centimetre
27731,"3.25"""
27732,"6.25"""
27733,25 centimetre
27734,25 centimetre
27735,9.8 inch
27736,13 ounce
27737,21 centimetre
27738,7 centimetre
27739,7 centimetre
27740,410 millimetre
27741,16 ounce
27742,1.7 centimetre
27743,13.5 centimetre
27744,13.5 centimetre
27745,7.8 inch
27746,
27747,7.8 inch
27748,30 centimetre
27749,30 centimetre
27750,7.87 inch
27751,7.87 inch
27752,7.87 centimetre
27753,9.5cm 12cm
27754,12 centimetre
27755,3 centimetre
27756,"39"""
27757,16 centimetre
27758,105 centimetre
27759,1.77 centimetre
27760,56 millimetre
27761,31.5 inches
27762,12.5 centimetre
27763,12.5 centimetre
27764,3x 150g
27765,5.1 centimetre
27766,2 inches
27767,5.6 centimetre
27768,4 centimetre
27769,13.75 ounce
27770,9 centimetre
27771,"16"""
27772,20 centimetre
27773,120 gram
27774,25 centimetre
27775,25 centimetre
27776,6.5 centimetre
27777,50.5 centimetre
27778,54.5 centimetre
27779,9.2 centimetre
27780,11.02 inch
27781,1.57 inch
27782,14 centimetre
27783,2.5 kilogram
27784,18.37 centimetre
27785,
27786,21 centimetre
27787,21 centimetre
27788,88.5 centimetre
27789,69.7 centimetre
27790,23.5 centimetre
27791,
27792,32 ounce
27793,101 millimetre
27794,4 centimetre
27795,42 centimetre
27796,35 millimetre
27797,30 centimetre
27798,30 centimetre
27799,30 centimetre
27800,
27801,7 centimetre
27802,14 centimetre
27803,85 centimetre
27804,14.56 centimetre
27805,650 centimetre
27806,220-240v
27807,
27808,77.6 centimetre
27809,74.8 centimetre
27810,5 volts
27811,5 watts
27812,44 pounds
27813,100 centimetre
27814,11.5 centimetre
27815,60 centimetre
27816,43 centimetre
27817,12 centimetre
27818,13 centimetre
27819,2.16 inch
27820,2.16 inch
27821,0.5 inch
27822,4 inch
27823,175 millimetre
27824,175 millimetre
27825,28 millimetre
27826,20 centimetre
27827,652 millimetre
27828,"10,000 btu"
27829,120 centimetre
27830,"45.3"""
27831,7.5 centimetre
27832,23.6 centimetre
27833,14.75 centimetre
